title,total_time,serving_size,ingr,instructions,nativeCuisine,country
Whitechapel Shepherd's Pie,70,4 servings,"1 stalk celery, chopped","Preheat the oven to 350 degrees F (175 degrees C).

Place the celery, carrots, parsnip, rutabaga, and peas into a large saucepan and fill with 1 inch of water. Bring to a boil, cover, and steam for 15 minutes, or until vegetables are tender.

Meanwhile, crumble the ground lamb into a large skillet set over medium heat. Add onion and garlic; cook and stir until lamb is no longer pink. Drain off any grease. Stir in the steamed vegetables and tomato sauce. Season with salt, pepper, thyme and sage. Transfer everything to a greased 7x11 inch baking dish.

Mix enough milk into the mashed potatoes to make them spreadable. Spread them over the top of the casserole and garnish with a sprinkling of Parmesan cheese.

Bake for 25 minutes in the preheated oven, until the top is browned and the casserole is heated through.
",unitedkingdom,GBR
Spicy English Seven-Layer Salad,85,8 servings,2 cups small seashell pasta,"Bring a pot of lightly salted water to a boil. Add the pasta, and cook until tender, about 7 minutes. Drain, and rinse under cold water to cool.

Place the carrots in an even layer in the bottom of a large glass bowl, preferably one that is roughly the same diameter from top to bottom. Place the lettuce in a layer over the carrots. Combine the cucumber, peas and corn; spread in a layer over the lettuce. Once the pasta is cooled and drained, then spread that out over the top.

In a smaller bowl, stir together the mayonnaise, brown sugar, curry powder, and garlic salt. Spread this carefully over the pasta. Top with shredded Cheddar cheese. Cover, and refrigerate for at least 1 hour before serving.
",unitedkingdom,GBR
Linda's Irish Shepherd's Pie,70,4 servings,5 large potatoes - peeled and cubed,"Place the potatoes in a pot with enough water to cover. Bring to a boil and cook until tender. Drain and mash with desired amounts of milk and butter. Set aside.

While the potatoes are cooking, crumble the ground beef into a large skillet over medium heat. Add onion and garlic; cook and stir until meat is no longer pink.

Preheat the oven to 400 degrees F (200 degrees C). Melt the margarine in a small pan. Stir in the flour. Cook and stir over medium heat until dark brown, about 10 minutes. Let cool off the heat then gradually stir in the consomme, ketchup and browning sauce until smooth. Set over medium heat and simmer until thick.

Stir the sauce into the ground beef and transfer to a casserole dish. Top with mashed potato, then sprinkle the cheese over the potato.

Bake for 15 to 20 minutes in the preheated oven, until potatoes are toasted and cheese is melted.
",unitedkingdom,GBR
Irish Brown Soda Bread,55,4 - 10 ounce loaves,4 cups whole wheat flour,"Preheat oven to 425 degrees F (220 degrees C). Lightly grease two baking sheets.

In a large bowl, stir together whole wheat flour, white flour, rolled oats, baking soda and salt. Gently mix in the buttermilk until a soft dough is formed. Knead very lightly. Divide dough into 4 pieces; form into rounded flat loaves. Mark each loaf with an 'X' and place on prepared baking sheets.

Bake in preheated oven until golden brown, about 30 to 45 minutes.
",unitedkingdom,GBR
Irish Soda Bread from County Cork,105,1 9-inch round loaf,3 cups self-rising flour,"Preheat an oven to 375 degrees F (190 degrees C). Grease and flour a 9-inch round baking dish.

In a large bowl, cut together the self-rising flour, sugar, and butter with a pastry cutter until the mixture resembles coarse crumbs. Stir in the raisins. In a separate bowl, whisk together egg with 1 cup of milk. Lightly mix the milk mixture into the flour mixture until it holds together. Place dough in prepared baking dish, and brush top with 1 tablespoon of milk for a nice golden brown crust.

Place the bread into the preheated oven. Reduce heat to 350 degrees F (175 degrees C), and bake for 1 hour. Let cool before serving.
",unitedkingdom,GBR
Irish Dairy Cake,105,1 10-inch cake,"1 ½ cups butter, softened","Preheat oven to 300 degrees F (150 degrees C).

Grease and flour a 10-inch fluted tube pan (such as a Bundt&reg;).

Cream butter and sugar together in a mixing bowl until thoroughly combined.

Beat in eggs, one at a time, beating each egg until fully incorporated before adding the next one.

Mix in cream cheese and vanilla extract.

Mix in flour, about 1/2 cup at a time, until batter is smooth and velvety. Pour batter into prepared pan.

Bake cake in the preheated oven until top is golden brown, about 1 1/2 hours.
",unitedkingdom,GBR
Mini Beef Wellingtons with Red Wine Sauce,75,6 servings,2 tablespoons vegetable oil,"Heat the oil in a large skillet over medium-high heat. Season the filets with salt and pepper, then fry on each side until browned to lock in the juices. Remove from the skillet and set aside to cool slightly.

Add the mushrooms, wine and beef consomme to the skillet; cook and stir over medium heat until mushrooms are tender. Use a slotted spoon to transfer the mushrooms to a small bowl, reserving the consomme. Mix the pate with the mushrooms, adding a little consomme if needed to achieve a spreadable texture. Divide the mushrooms among the filets and spread on the top. Refrigerate about 30 minutes.

Preheat the oven to 400 degrees F (200 degrees C). Lay the puff pastry out on a clean surface and cut out two 5 to 6 inch rounds for each steak. You can roll it out a little thinner if you need more area. Place a steak onto a round, and bring the edges up around the sides. Cover the top with a second piece of dough, overlapping the edges and pressing to seal into a package. Repeat with remaining steaks. Place the Wellingtons onto a baking sheet, and brush the tops with beaten egg.

Bake for about 12 minutes, for rare, 16 minutes for medium, or 20 minutes for well done. For best results use a meat thermometer to determine the temperature of the steaks, with 140 degrees F (60 degrees C) being medium doneness. Remove from the oven and allow to rest for about 5 minutes.

While the steaks are cooking, make the sauce. Melt the butter in a saucepan over medium heat. Stir in the flour and cook, stirring constantly, until browned. Stir in the green onions, and cook until tender, about 1 minute. Gradually stir in the reserved consomme and the remaining 1 cup of consomme; continue to cook and stir until the sauce thickens. Reduce heat to low and stir in the wine. Continue to simmer until thickened, about 15 minutes. Remove from the heat and stir in butter and parsley. Season with salt and pepper to taste.

To serve, cut each Wellington in half and spoon some sauce onto the plate.
",unitedkingdom,GBR
Irish Apple Cake,55,1 9x9-inch cake,3 cups sifted all-purpose flour,"Preheat oven to 350 degrees F (175 degrees C).

Grease a 9x9-inch baking pan.

Mix flour, sugar, and salt together in a bowl.

Beat in egg yolks, butter, and lemon zest until dough is thoroughly mixed.

Mix applesauce, cinnamon, and cloves together in a small bowl.

Press half the dough into the prepared baking pan; spread applesauce mixture over dough in a layer. Top with remaining dough.

Bake in the preheated oven until cake is browned, 40 to 45 minutes.
",unitedkingdom,GBR
Fried Irish Soda Farls,8,2 servings,1 prepared soda bread farl,"Split the soda farl in half horizontally.

Heat oil in skillet over medium high heat. Gently fry soda bread for 2 to 3 minutes on each side or until crisp and golden brown. Serve hot, seasoned lightly with salt.
",unitedkingdom,GBR
Slow Cooker Corned Beef and Cabbage,640,8 servings,½ pound baby carrots,"Spread baby carrots, potatoes, and onion into the bottom of a slow cooker crock. Pour water over the vegetables.

Season the lean side of the corned beef brisket with onion powder and garlic powder. Set seasoned brisket onto the vegetables with the fatty side facing upwards. Pour beer over the brisket. Sprinkle contents of the spice packet over the brisket.

Cook on Low for 10 hours.

Remove brisket to a cutting board. Stir cabbage into the liquid and vegetable mixture remaining in the slow cooker.

Cook cabbage on High until tender, 30 to 45 minutes.

Slice corned beef and serve with cabbage mixture.
",unitedkingdom,GBR
Irish Soda Farl,21,4 pieces,2 cups self-rising flour,"Heat a heavy-bottomed skillet over medium heat.

Mix the self-rising flour and buttermilk together in a bowl until a workable dough forms; turn out onto a lightly floured work surface.

Pat the dough into a 1 1/2-inch thick round.

Cut the dough into 4 wedges.

Sprinkle enough all-purpose flour into the bottom of the skillet to lightly coat.

Cook the dough in the hot skillet until evenly browned and cooked through, about 8 minutes per side.
",unitedkingdom,GBR
Scotch Broth II,745,8 servings,2 ¼ pounds leg of lamb,"To make the stock, put the lamb shanks, 3 onions, 3 turnips, 2 carrots, peppercorns and water in a large pot. Bring to a boil, reduce the heat and simmer, covered, for 3 hours. Skim the surface as required.

Remove the shanks and any meat that has fallen off the bones and cool slightly. Remove the meat from the bones and finely chop, then cover and refrigerate. Strain the stock, discarding the vegetables. Cool the stock and refrigerate overnight, or until the fat has set on top and can be spooned off.

Cover the barley with water and soak for 1 hour.

Put the stock in a large pan and gently reheat. Add the drained barley, extra carrot, onion, leek, celery and turnip. Bring to a boil, reduce the heat and simmer for 30 minutes, or until the barley and vegetables are just cooked. Return the meat to the pan and simmer for 5 minutes. Season well and serve with parsley.
",unitedkingdom,GBR
Irish Ginger Snaps,20,2 - 3 dozen,1 cup white sugar,"Preheat oven to 350 degrees F (175 degrees C).

Cream sugar, egg, salt and shortening together.  Add flour, baking soda and spices.  Mix well. Roll teaspoonfuls of dough into balls and roll the balls in sugar.

Bake at 350 degrees F (175 degrees C) for 5 to 6 minutes.
",unitedkingdom,GBR
Instant Pot&reg; Irish Stew,80,4 servings,1 tablespoon butter,"Warm butter and oil in a multi-functional pressure cooker (such as Instant Pot&reg;) set to Saute function. Add lamb and cook until browned on all sides, about 5 minutes. Transfer to a plate. Add onion and shallots to the pot; cook and stir until translucent, 4 to 5 minutes. Add garlic and cook for 1 minute longer.

Pour wine into the pot and scrape up any browned bits off the bottom of the pot. Cook until wine is reduced by half, 3 to 5 minutes. Place carrots and potatoes on top of onions. Season with rosemary and thyme; stir to combine well. Arrange lamb over vegetables; pour beef broth on top.

Close and lock the lid. Open vent for steaming. Select Meat/Stew function; set timer for 20 minutes. Allow 10 to 15 minutes for pressure to build.

Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Meanwhile, mix water and potato starch until creamy.

Unlock and remove lid. Switch to Saute function. Stir potato starch mixture into the stew; cook until thickened, 2 to 3 minutes. Season with salt and pepper.
",unitedkingdom,GBR
Instant Pot&reg; Colcannon,40,4 servings,"3 tablespoons butter, divided","Turn on a multi-functional pressure cooker (such as Instant Pot&reg;) and select Saute function. Add 1 tablespoon butter and olive oil and allow butter to melt. Add cabbage and green onions and cook until wilted, about 2 minutes. Turn pot off.

Add potatoes and water to the pot. Close and lock the lid. Select manual pressure and set timer for 5 minutes. Allow about 10 minutes for pressure to build.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid.

Remove pressure cooker liner and place on the counter. Add milk and mash using a potato masher. Let colcannon stand for 3 minutes.

Transfer to a serving dish. Make a well in the center of the potatoes and add remaining 2 tablespoons butter. Season with salt and pepper to taste.
",unitedkingdom,GBR
Vegetable Soup - Irish Style,30,6 servings,"3 carrots, chopped","Place the carrots, potatoes, parsnip, turnip, leek and onion into a large saucepan. Fill with enough water to cover. Bring to a boil and cook until the vegetables are tender. Drain off water and puree vegetables in a blender or using a stick blender.

Return the puree to the saucepan and stir in water to reach your desired thickness. Heat to a simmer and season with salt and pepper. Serve and enjoy.
",unitedkingdom,GBR
Rosemary and Lamb Crispy Roast Potatoes,60,4 servings,"4 large baking potatoes, peeled and quartered","Preheat the oven to 425 degrees F (220 degrees C). Place the potatoes in a large pan and fill with enough water to cover. Bring to a boil and cook for about 10 minutes, just cooking partially.

Place  the potatoes into a large lidded tub and pour in the lamb drippings. Season with rosemary and salt. Close the lid and shake to coat the potatoes. Pour them out onto a baking sheet.

Bake for 45 minutes in the preheated oven, or until dark brown and crispy.
",unitedkingdom,GBR
Diana's Guinness&reg; Chocolate Cake with Guinness Chocolate Icing,155,1 9-inch layer cake,1 tablespoon unsweetened cocoa powder,"Preheat oven to 350 degrees F (175 degrees C). Grease two 9-inch cake pans and dust with 1 tablespoon cocoa.

In a heavy saucepan over low heat, combine 1 1/4 cups butter, 1 cup stout beer, 4 ounces dark chocolate, and superfine sugar. Heat, stirring occasionally, until chocolate is melted and smooth. Remove saucepan from heat and cool slightly.

Beat eggs and creme fraiche together in a large mixing bowl; gradually stir in the flour and baking soda. Add the melted chocolate mixture in small additions, beating well after each addition. Pour half the batter into each prepared cake pan.

Bake in the preheated oven until the top of the cake bounces back when touched lightly with a finger, about 40 minutes. Cool the cakes on racks.

To make the icing, place 1/2 cup butter, 4 ounces dark chocolate, and 5 tablespoons stout beer in a heavy saucepan over low heat. Cook, stirring occasionally, until the chocolate has melted. Remove from heat and cool slightly.

In a mixing bowl, blend cream cheese, 1/3 cup cocoa powder, and vanilla extract until combined. Stir in 1/2 cup confectioners' sugar. Pour in the cooled chocolate-stout mixture and beat well. Gradually add remaining confectioners' sugar until icing reaches the desired thickness.

Place 1 cake on a serving plate and smooth about 1/3 of the icing over the top. Place the second cake onto the frosted layer, and spread remaining 2/3 of the icing over the top and sides of the cake.
",unitedkingdom,GBR
London Fog Latte,15,1 drink,2 teaspoons Earl Grey tea leaves,"Steep Earl Grey tea and lavender in boiling water for about 3 minutes; strain tea into a cup.

Heat milk in a saucepan over medium-low heat, stirring constantly, until frothy and steaming, 4 to 5 minutes.

Pour hot milk, honey, and vanilla extract into tea.
",unitedkingdom,GBR
Poor Irish Soup,45,6 cups,4 cups chicken stock,"Combine the stock, ham hock, and cabbage in a large stockpot; bring to a boil. Reduce heat to low; cover and cook until the potatoes are soft,  about 30 minutes. Carefully separate the meat from the bone of the ham hock and dispose of the bone, adding the meat back to the soup. Stir in the cream; season with salt and pepper.
",unitedkingdom,GBR
Georgina's True English Butter Tarts,45,24 2-inch tarts,24 (2 inch) unbaked tart shells,"Preheat oven to 400 degrees F (205 degrees C). Place tart shells on a baking sheet.

Bake in the preheated oven until edge of crust is golden, about 10 minutes.

Lower oven temperature to 350 degrees F (175 degrees C). Position a rack in the upper 1/3 of the oven.

Whisk brown sugar, golden syrup, butter, eggs, vanilla extract, and salt together in a bowl until smooth. Fill pastry shells with sugar mixture about 2/3-full.

Bake in the preheated oven until filling foams and is bubbly and golden, about 15 minutes. Remove pan and cool for a few minutes on a wire rack; serve warm or at room temperature.
",unitedkingdom,GBR
My Colcannon,50,10 servings,"1 pound potatoes, peeled and cut into chunks","Place the potatoes into a large pot and cover with salted water. Bring to a boil over high heat, then reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and allow to steam dry for a minute or two.

While potatoes are boiling, place the cabbage into a pot with several tablespoons of water; cover, bring to a boil over medium heat, and reduce heat to medium-low. Cook the cabbage until tender, 10 to 15 minutes. Pour off any excess liquid, and set the cabbage aside.

Place the sliced leeks, milk, caraway seeds, and anise seeds into a large saucepan over medium-low heat, and bring to a simmer. Cook the leeks until soft, about 10 minutes, stirring occasionally. Add the butter, and season with salt and pepper; let the mixture stand off the heat until the butter melts.

Mash the potatoes with a masher in a large bowl, and stir in the leek mixture until the mashed potatoes are slightly chunky. Stir in the cooked cabbage, and serve.
",unitedkingdom,GBR
Awesome Irish Nachos,40,8 servings,1 (14 ounce) package frozen waffle fries,"Preheat the oven to 450 degrees F (230 degrees C).

Arrange waffle fries in a single layer on a rimmed baking sheet.

Bake in the preheated oven until light golden in color, 12 to 20 minutes.

Meanwhile, cook and stir ground beef in a large skillet until browned and crumbly, 5 to 7 minutes. Drain excess grease. Stir in taco seasoning and cook for 1 to 2 minutes more.

Transfer baked fries to a 9x13-inch baking pan. Spread ground beef evenly over fries. Cover beef with cheese.

Return to the oven until cheese has melted, about 5 minutes.

Remove from the oven and garnish with tomatoes, olives, jalapenos, and lettuce. Dollop sour cream and guacamole on top.
",unitedkingdom,GBR
Smoky Irish Wolfhound,20,2 cocktails,1 ruby red grapefruit,"Preheat an outdoor grill for high heat.

Cut grapefruit in half crosswise. Cut a slice from one of the halves, about 1/4 inch thick. Sprinkle both sides of the grapefruit slice with smoked salt.

Place grapefruit halves cut-side down on hot grill, along with grapefruit slice. Grill until slightly charred and grill marks appear, flipping the slice halfway through, 2 to 3 minutes. Remove from grill and let cool. Squeeze the juice from both halves and set aside. Cut grapefruit slice into 6 wedges.

Add 2 slices of ginger and 4 wedges of sliced grapefruit to a cocktail shaker. Use a muddler to slightly crush the crystallized ginger and grapefruit. Fill the shaker with ice cubes, whiskey, and 3 fluid ounces of grapefruit juice. Cover and shake until chilled, 15 to 20 seconds.

Fill 2 rocks glasses with crushed ice and divide cocktail amongst the 2 glasses. Top each glass with 1 fluid ounce of ginger beer. Garnish with remaining grapefruit wedges and crystallized ginger.
",unitedkingdom,GBR
Margie's Shortbread Oatmeal Cookies,0,2 dozen,3 cups rolled oats,"Preheat oven to 375 degrees F (190 degrees C).

Dissolve the baking soda in the water.

Combine the oats, flour and brown sugar. Cut in the butter until the mixture resembles coarse crumbs. Stir in the baking soda mixture and form dough into a ball. Either roll dough out to 1/4 inch thick and cut with cookie cutters or press dough into the bottom of one 9x13 inch baking pan.

Bake at 375 degrees F (190 degrees C) for 12 to 15 minutes.
",unitedkingdom,GBR
Emma's Humongous Yorkshire Puddings,45,6 servings,4 eggs,"Preheat oven to 400 degrees F (200 degrees C).

Place a muffin tin in the preheated oven.

Whisk eggs, milk, salt, and pepper together in a bowl. Gradually whisk 1 cup plus 2 tablespoons flour, a small amount at a time, into egg mixture until batter is smooth. Let rest 10 to 15 minutes.

Carefully remove muffin tin from oven and add lard to 6 muffin cups, about 1 teaspoon per muffin cup. Return to the oven.

Whisk batter again until small bubbles form on the surface. Carefully remove muffin tin from oven and ladle batter into greased muffin cups, filling almost to the top.

Bake in the preheated oven until puddings are risen and golden brown, about 20 minutes.
",unitedkingdom,GBR
Scottish Tablet,390,16 pieces,1 (14 ounce) can sweetened condensed milk,"Butter a 10x15 inch jellyroll pan, and set aside.

Pour milk, water, cream, and sugar into a large, heavy bottomed saucepan. Add the butter, and bring to a boil over medium-high heat, stirring constantly.

Reduce heat to medium, and cook for 20 minutes, stirring constantly. After 20 minutes, remove from heat, and beat in vanilla extract. Continue to stir until the mixture is no longer glossy.  Pour into prepared pan, and let cool until hard, about 6 hours.
",unitedkingdom,GBR
Simple British Flapjack,30,8 servings,½ cup butter,"Preheat the oven to 350 degrees F (175 degrees C). Lightly butter a baking pan.

Combine butter, sugar, and golden syrup in a saucepan over low heat. Mix until butter has melted and sugar has dissolved. Remove from heat. Add 2 cups oats and raisins. Mix until oats are well coated. Pour mixture into the prepared pan; flatten down with the back of a spoon.

Bake in the preheated oven until golden brown on top, 10 to 20 minutes. Let flapjack cool.

Melt chocolate in a microwave-safe glass or ceramic bowl in 15-second intervals, stirring after each interval, 1 to 3 minutes. Pour over the cooled flapjack. Let cool until chocolate is set.
",unitedkingdom,GBR
Chocolate Tiffin,75,20 servings,½ cup butter,"Combine butter, sugar, golden syrup, and cocoa powder in a saucepan over medium-low heat; cook and stir until smooth, 2 to 4 minutes. Stir in biscuits and raisins. Pour mixture onto a rimmed 8 x 12-inch jelly roll pan; press to flatten.

Melt milk chocolate and dark chocolate in top of a double boiler over simmering water, stirring frequently and scraping down the sides with a rubber spatula to avoid scorching, 3 to 4 minutes. Pour melted chocolate over base in the jelly roll pan.

Refrigerate until set, about 1 hour. Cut into 20 pieces.
",unitedkingdom,GBR
Australian English Trifle,45,10 servings,"1 (10 inch) sponge cake, cut in cubes","Place the cake in a glass serving bowl and cover with the canned fruit.  Prepare gelatin according to package instructions and pour over fruit and cake.

Combine custard powder and sugar in a small saucepan over medium heat.  Stir in milk and cook until thick and creamy.  Pour over sponge cake mixture.  Chill until set.
",unitedkingdom,GBR
Black Treacle Scones,20,15 scones,3 ⅔ cups all-purpose flour,"Preheat oven to 425 degrees F (220 degrees C). Lightly grease a baking sheet.

In a large bowl, sift together flour, baking soda, cream of tarter, salt, cinnamon, allspice, cloves, nutmeg and ginger. Cut in butter with a fork or pastry blender. Combine milk and molasses in a small bowl; stir into flour mixture until moistened. Turn dough out onto a lightly floured surface and knead briefly. Roll dough out into a 1/2 inch thick round. Cut out circles with a medium biscuit cutter and place pieces on prepared baking sheet so that they are barely touching.

Bake in preheated oven for 10 to 12 minutes. Move to a wire rack to cool slightly before serving. For soft scones, cover with a dry cloth for 10 minutes. For crisp scones, do not cover.
",unitedkingdom,GBR
Cullen Skink,90,6 servings,"2 pounds smoked haddock fillets, undyed","In a saucepan over medium heat, combine the haddock and milk. Simmer for about 15 minutes, or until the fish flakes easily with a fork. When the fish is done, remove it with a slotted spoon and set aside in a bowl. Add the potatoes and onion to the milk, and simmer until tender, about 10 minutes.

Transfer the contents of the pan to a blender, in batches if needed, and blend until smooth and creamy. Return to the pan and flake the fish into the soup. Heat through gently, do not boil. Serve immediately. Season with pepper and garnish with parsley to individual tastes.
",unitedkingdom,GBR
Almost Fat-Free British Tea Loaf,95,1 loaf pan,1 teaspoon vegetable oil,"Preheat the oven to 350 degrees F (175 degrees C). Oil a loaf pan.

Combine raisins and tea in a bowl. Steep for about 30 minutes.

Mix flour, sugar, and allspice together in a second bowl. Add the raisin-tea mixture and egg. Gently combine using a rubber spatula; do not overmix. Scoop mixture into the prepared loaf pan.

Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour.
",unitedkingdom,GBR
Irish Coffee Cookies,135,32 cookies,1 cup whiskey,"Place 1 cup whiskey and 1/3 cup brown sugar in a small saucepan over medium heat; bring to a simmer. Cook, stirring occasionally, until mixture has reduced to 1/3 cup, about 20 minutes. Remove whiskey reduction from the heat and cool to room temperature, about 20 minutes.

Meanwhile, mix espresso powder and 2 tablespoons whiskey together in a small bowl until espresso powder is dissolved. Whisk flour, baking soda, salt, and nutmeg together in a medium bowl. Set both aside.

Cream butter, 3/4 cup brown sugar, and white sugar in a large bowl until light and fluffy. Mix in eggs, one at a time, beating well after each addition. Mix in vanilla extract. Stir in whiskey reduction, then whiskey-espresso mixture. Add dry ingredients in 3 batches, mixing until just incorporated after each addition. Fold in white chocolate. Cover the dough and place in the refrigerator for at least 1 hour.

Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with parchment paper.

Scoop out 1 1/2 tablespoonfuls of dough and place 1 inch apart on the prepared baking sheets.

Bake in the preheated oven until cookies are just set, about 10 minutes. Allow cookies to cool on the sheets for 7 to 10 minutes before removing to a wire rack to cool completely.
",unitedkingdom,GBR
Strawberry Yogurt Scones,30,12 scones,1 ¾ cups all-purpose flour,"Preheat oven to 425 degrees F (220 degrees C).

Sift the flour and baking powder into a large bowl. Using your fingers, rub in the butter until the mixture resembles a crumbly texture. Add the yogurt all at once and mix briefly to form a soft dough.

On a lightly floured surface, roll the dough out to 1 inch in thickness. Dip a 3-inch cutter into some flour, and stamp out 12 scones. (You may have to re-roll the dough to get 12.) Place scones 2 inches apart onto baking sheets. Brush tops with milk.

Bake in preheated oven for 10 minutes or until risen and golden brown. Best served freshly baked with butter.
",unitedkingdom,GBR
Shepherd's Turkey Pie,100,1 9x12-inch dish,"4 potatoes, cut into chunks","Place the potatoes and cauliflower into a pot, then pour in the chicken broth. Add water to nearly cover the vegetables; bring to a boil. Reduce heat to low, and simmer until the potatoes and cauliflower are tender, about 20 minutes. Drain the potatoes and cauliflower, but keep about 1/2 cup of the cooking liquid. Separate the cooked potatoes into a large bowl. Transfer the cauliflower into a blender or food processor along with about 1/4 cup of the cooking liquid, and pulse until the cauliflower is thoroughly pureed. Spoon the blended cauliflower into the bowl with the potatoes, and mash together until the cauliflower and potatoes form a smooth, white mixture. Season the mixture with salt and black pepper. For a softer topping, stir in a few more spoonfuls of the cooking liquid.

Preheat oven to 400 degrees F (200 degrees C). Spray a 9x12-inch baking dish with cooking spray.

Heat the olive oil in a large skillet over medium heat, and cook the onion and carrots until the onion is translucent, about 5 minutes; stir in the ground turkey, and cook until the meat is no longer pink, breaking it up into small chunks as it cooks. Stir in peas and Worcestershire sauce, then cook until the meat has begun to brown, about 10 more minutes. If the filling mixture starts to look dried out, stir in a few spoonfuls of the cauliflower cooking liquid to keep it moist. Place the filling into the prepared baking dish, then smooth it out into an even layer. Top the filling with the mashed potato and cauliflower mixture, and spread with a fork, leaving little peaks and swirls in the topping.

Bake the pie in the preheated oven until the filling is bubbling, about 25 minutes. Turn on the oven's broiler, and broil the pie about 6 inches from the heat source until the mashed topping has browned, about 10 more minutes.
",unitedkingdom,GBR
Steak n Ale Pie,0,4 servings,"½ (17.5 ounce) package frozen puff pastry, thawed","Preheat oven to 375 degrees F (190 degrees C).

Heat a large skillet over high heat. Add lard, then meat. Toss to coat meat, and saute just long enough to brown meat on all sides. Remove from heat. Place meat in a 1 quart baking dish. Add carrots, turnip, potatoes, and onion. Mix well.

Place 1 cup water and ale in a small saucepan. Bring to a simmer. Mix cornstarch with 1/4 cup cold water until smooth. Slowly pour cornstarch mixture into simmering ale mixture, whisking constantly. Continue to simmer until mixture has thickened. Add salt and pepper to taste. Pour mixture over meat and vegetables. Trim puff pastry to fit over top of filling.

Bake in preheated oven for 45 to 50 minutes, until pastry is deep golden brown.
",unitedkingdom,GBR
Mom's Butter Tarts,0,2 -dozen 3 inch mini tarts,1 recipe pastry for a 9 inch single crust pie,"Line three inch tart tins with pastry.  Chill while making filling.

Melt butter.  Stir in golden syrup, brown sugar, raisins, nutmeg, and salt; mix thoroughly.  Let mixture cool. Beat the eggs just sufficiently to combine yolks and whites, and then mix into the butter syrup.  Pour filling into pastry lined tart tins.  Set tins on a cookie sheet.

Bake on lowest rack in very hot preheated oven, 450 degrees F (230 degrees C), for 15 to 20 minutes.  When baked, loosen edges with pointed knife.  Allow tarts to stand for at least 10 minutes before removing from tins.
",unitedkingdom,GBR
Caramel Shortbread,0,16 bars,½ cup butter,"Beat 1/2 cup butter and 1/4 cup sugar until pale.  Add flour and ground almonds to form a soft dough.

Press dough into a 8 inch square pan that has been greased and lined with parchment paper.  Bake shortbread at 350 degrees F (175 degrees C) for 20 to 25 minutes, or until pale golden brown.  Leave in pan until cool.

To Make Topping:  Cook 3/4 cup butter, 3/8 cup sugar, syrup, and sweetened condensed milk in a saucepan on low heat.  Bring to a boil, stirring constantly.  Boil for 5 to 7 minutes until it has thickened and has a pale caramel color.

Spread caramel on cooled shortbread, and let set about 40 minutes.  Melt chocolate over low heat.  Spread melted chocolate on top of caramel and sprinkle on toasted almonds.
",unitedkingdom,GBR
Gram's Potato Candy,95,32 servings,"1 small potato, peeled and cubed","Place potato cubes in a small sauce pan and cover with salted water. Bring to a boil, then reduce heat to medium-low and simmer until tender, about 15 minutes. Drain and cool.

Mash potato in a large bowl until smooth.

Stir 1 cup confectioners' sugar into mashed potato; mix well. Gradually stir remaining confectioners' sugar and milk to form a firm dough. Incorporate green food coloring at this point if using.

Sprinkle work surface with confectioners' sugar, and roll dough into an 8x12-inch rectangle about 1/2 inch thick.

Spread peanut butter evenly onto the dough.

Tightly roll dough into a log, jelly roll-style, beginning at the wide end.

Wrap log in plastic wrap and chill in refrigerator until the candy sets up, about 1 hour. Cut into 1/4-inch slices.
",unitedkingdom,GBR
Irish Soda Bread III,185,2 pound loaf,1 ½ cups warm water (110 degrees F/45 degrees C),"Add ingredients in order suggested by your manufacturer. Select fruit bread or basic bread setting. Add raisins when indicated by your manufacturer.
",unitedkingdom,GBR
Cream Cheese Colcannon,70,4 servings,1 pound potatoes,"Place potatoes in a large pot and cover with salted water. Bring to a boil, then reduce heat to medium-low and simmer until tender, 15 to 20 minutes. Drain and reserve the cooking liquid. Allow potatoes to cool until they can be handled.

Boil cabbage and onion with the reserved potato water in a pot until softened, about 5 minutes. Drain.

Preheat oven to 350 degrees F (175 degrees C).

Grease a 2-quart casserole dish.

Peel and cut potatoes into chunks; place in a large bowl.

Mash skim milk and butter into potatoes until mixture is smooth.

Stir drained cabbage and onion into potato mixture.

Fold cream cheese, salt, and black pepper into potato mixture, stirring until the cream cheese melts.

Pour potato mixture into prepared casserole dish.

Bake in preheated oven until browned, 30 to 35 minutes.
",unitedkingdom,GBR
